score,max_tile,moves
246424,16384,9316
361808,16384,13667
57408,4096,2652
174872,8192,7296
362876,16384,13700
374044,16384,14200
338260,16384,12784
74128,4096,3355
304800,16384,11572
333792,16384,12536
331936,16384,12582
175548,8192,7342
123988,8192,5136
281224,16384,10701
360792,16384,13568
168336,8192,7006
338868,16384,12856
130200,8192,5416
337964,16384,12678
338476,16384,12758
312168,16384,11532
164376,8192,6790
245628,16384,9294
288056,16384,11005
177228,8192,7446
289616,16384,11096
246368,16384,9351
382992,16384,14638
311988,16384,11565
289668,16384,11087
333848,16384,12566
329976,16384,12765
322736,16384,12075
289904,16384,11146
246204,16384,9326
279688,16384,10595
340372,16384,12832
174732,8192,7270
107488,8192,4353
168372,8192,7017
177028,8192,7424
337536,16384,12678
310148,16384,11888
132436,8192,5563
380700,16384,14476
288508,16384,11017
242984,16384,9174
165812,8192,6877
165120,8192,6791
177176,8192,7435
376668,16384,14362
342548,16384,13028
341204,16384,12959
289640,16384,11094
321860,16384,12033
361220,16384,13861
373532,16384,14205
177320,8192,7464
338240,16384,12736
243284,16384,9171
365336,16384,13865
176540,8192,7378
176920,8192,7403
108916,8192,4441
288912,16384,11108
290380,16384,11154
6592,512,448
334028,16384,12590
79488,4096,3659
135952,8192,5733
286256,16384,10903
354428,16384,13549
37944,2048,1997
360480,16384,13558
175404,8192,7306
80608,4096,3749
175980,8192,7375
70424,4096,3181
37880,2048,1982
382124,16384,14571
157160,8192,6545
361452,16384,13623
176216,8192,7370
177296,8192,7472
65180,2048,3238
175388,8192,7330
170044,8192,7119
171788,8192,7091
133264,8192,5651
168188,8192,6973
172932,8192,7163
156180,8192,6450
291100,16384,11159
86796,4096,4014
131240,8192,5481
357332,16384,13442
67264,4096,3020
288788,16384,11071
343896,16384,13077
177240,8192,7444
291368,16384,11237
157012,8192,6521
173312,8192,7252
290852,16384,11241
132840,8192,5561
342372,16384,12995
288752,16384,11067
365424,16384,13851
307640,16384,11694
387068,16384,14893
243104,16384,9191
89420,4096,4177
232560,16384,8584
340460,16384,12860
290524,16384,11190
75580,4096,3503
177088,8192,7455
282296,16384,10782
178088,8192,7465
365316,16384,13868
366356,16384,13948
290876,16384,11229
82512,4096,3818
288992,16384,11111
21500,1024,1263
172588,8192,7162
172892,8192,7165
217560,16384,7969
80428,4096,3707
177448,8192,7447
290116,16384,11124
176824,8192,7405
360396,16384,13763
243396,16384,9117
322080,16384,12039
366984,16384,13926
172388,8192,7124
258104,16384,9609
342828,16384,13033
161120,8192,6660
130024,8192,5417
376088,16384,14341
225976,16384,8361
361160,16384,13808
79852,4096,3691
330328,16384,12454
290080,16384,11122
293316,16384,11297
352156,16384,13123
284264,16384,10757
322648,16384,12096
276772,16384,10420
61232,4096,2858
57228,4096,2642
175408,8192,7307
173188,8192,7202
173308,8192,7210
142844,8192,5782
79456,4096,3648
380804,16384,14513
124628,8192,5200
168020,8192,7008
177652,8192,7494
18504,1024,1105
278376,16384,10653
156740,8192,6460
165372,8192,6867
354012,16384,13506
353312,16384,13208
17924,1024,1020
175376,8192,7311
322668,16384,12095
366360,16384,13892
177488,8192,7458
341420,16384,12948
157012,8192,6485
78108,4096,3571
121440,8192,4939
55660,4096,2525
81300,4096,3811
253428,16384,9677
164356,8192,6742
176560,8192,7403
166604,8192,6895
243592,16384,9211
167188,8192,7060
236916,16384,8841
290292,16384,11171
126952,8192,5237
156776,8192,6487
169956,8192,7097
177204,8192,7436
290492,16384,11181
287676,16384,10971
175764,8192,7374
127804,8192,5317
162144,8192,6606
288844,16384,11073
360908,16384,13583
132824,8192,5588
176616,8192,7417
246112,16384,9303
330000,16384,12340
171492,8192,7085
81724,4096,3775
168228,8192,6985
342888,16384,13016
312280,16384,11569
80772,4096,3729
111184,8192,4565
333396,16384,12544
351436,16384,13427
156304,8192,6452
378124,16384,14470
279356,16384,10702
355608,16384,13334
289384,16384,11076
175304,8192,7335
153312,8192,6296
377320,16384,14373
366628,16384,13955
156556,8192,6477
80532,4096,3744
157416,8192,6533
361552,16384,13664
364464,16384,13735
166660,8192,6896
234188,16384,8714
332992,16384,12459
28948,2048,1540
37640,2048,1954
84084,4096,3929
85020,4096,3927
176536,8192,7380
58396,4096,2664
347824,16384,13290
256660,16384,9501
153904,8192,6330
177284,8192,7455
236984,16384,8835
72396,4096,3315
355396,16384,13266
313804,16384,11667
336540,16384,12626
270388,16384,10251
177420,8192,7489
361488,16384,13625
373092,16384,14086
266228,16384,9981
364824,16384,13856
340440,16384,12849
128288,8192,5300
51776,4096,2365
367276,16384,13993
176008,8192,7331
290388,16384,11172
287712,16384,11069
174164,8192,7300
