episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
364000,11324.7,263831.9,386940,242251,99.6936,99.2850,97.0378,92.1348,67.3136,0.0000,210806.06,392.64,181696,629,65536
366000,11386.1,265304.4,503296,242260,99.4882,98.9765,96.9294,92.8352,67.7584,0.1024,210678.60,392.24,182719,633,65536
368000,11449.1,265488.2,533228,242247,99.7041,99.5069,96.9428,91.2229,68.2446,0.1972,210307.93,391.18,183705,641,65536
370000,11510.8,265946.9,556148,242265,99.9017,99.2134,97.7384,92.6254,68.2399,0.1967,210610.79,397.23,184688,646,65536
372000,11574.3,263098.2,532428,242233,99.8012,99.1054,97.1173,91.6501,66.1034,0.1988,210587.15,396.71,185682,648,65536
374000,11636.0,268081.9,522644,242251,99.8992,99.6976,97.9839,94.1532,67.9435,0.2016,210296.27,397.17,186690,649,65536
376000,11697.9,263029.6,585712,242264,99.5112,98.7292,96.3832,91.3978,67.2532,0.2933,210542.00,399.58,187667,651,65536
378000,11760.4,264032.7,387184,242262,99.8043,99.2172,97.3581,92.5636,67.9061,0.0000,210597.46,395.75,188645,655,65536
380000,11824.5,266941.9,533872,242233,99.7059,98.9216,96.2745,91.4706,68.5294,0.2941,209872.40,399.84,189625,657,65536
382000,11887.5,263403.7,385788,242214,99.6075,98.7242,97.3503,93.1305,66.1433,0.0000,210753.37,399.53,190606,660,65536
384000,11949.7,258407.1,387084,242180,99.8989,99.5956,98.1800,91.5066,64.4085,0.0000,211093.89,399.96,191617,663,65536
386000,12012.8,264162.2,584784,242151,99.8995,99.6985,97.9899,92.6633,67.5377,0.2010,210727.74,397.18,192622,664,65536
388000,12076.6,263609.7,386992,242117,99.7015,98.7065,97.2139,92.9353,67.6617,0.0000,210865.12,393.74,193617,668,65536
390000,12138.1,263076.5,457420,242122,99.7996,99.2986,98.1964,92.5852,66.2325,0.1002,210811.70,394.89,194619,670,65536
392000,12203.4,261736.7,387116,242062,99.7062,99.1185,95.8864,90.8913,68.4623,0.0000,210612.73,396.26,195598,672,65536
394000,12267.0,267778.6,531736,242031,99.8973,98.8706,97.4333,92.0945,68.5832,0.1027,209834.77,397.74,196624,680,65536
396000,12329.9,265920.5,471808,242006,99.4813,98.9627,97.3029,92.2199,68.2573,0.1037,210132.35,399.40,197660,682,65536
398000,12392.3,263827.4,385524,241987,99.8957,99.4786,97.3931,90.3024,67.7789,0.0000,210158.85,398.95,198701,684,65536
400000,12455.4,266495.6,386656,241963,100.0000,99.4835,97.5207,94.1116,67.7686,0.0000,210519.06,393.99,199733,688,65536
402000,12518.2,265720.3,557008,241951,99.8006,99.1027,97.3081,91.3260,69.5912,0.0997,210194.56,396.04,200730,689,65536
404000,12579.5,259769.9,405876,241935,99.8957,99.3743,97.2888,91.5537,65.2763,0.0000,210657.88,399.54,201771,693,65536
406000,12641.4,261304.9,572544,241917,99.8981,99.3884,97.6555,92.7625,66.2589,0.2039,211307.19,393.51,202790,696,65536
408000,12704.7,266810.8,386092,241896,99.6945,99.4908,97.6578,92.9735,67.9226,0.0000,210217.21,397.09,203808,701,65536
410000,12767.4,263653.1,386260,241878,99.7994,98.9970,97.4925,92.7783,66.9007,0.0000,210644.65,396.23,204811,706,65536
412000,12832.4,271329.2,386824,241847,99.8000,99.5000,98.0000,92.9000,69.4000,0.0000,209388.82,395.58,205811,708,65536
414000,12894.6,265733.8,385124,241834,99.7936,99.6904,97.7296,93.0857,67.3891,0.0000,210421.67,392.02,206842,713,65536
