episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
198000,8452.1,272211.5,504048,243666,99.7000,99.4500,97.7500,93.1000,70.9000,0.1000,217807.05,398.19,0,0,0
200000,8536.9,266593.3,524520,243653,99.8500,99.2000,97.3500,92.5500,68.3500,0.0500,218562.61,395.33,0,0,0
202000,8624.7,272282.3,387204,243599,99.6500,99.3000,97.7000,92.9500,71.3000,0.0000,217891.75,396.65,0,0,0
204000,8710.6,271678.0,387160,243597,99.9000,99.5000,97.8000,93.3500,71.7000,0.0000,218009.54,400.84,0,0,0
206000,8795.6,272113.8,513160,243621,99.6000,99.2000,97.8000,93.9000,70.6500,0.0500,217826.67,401.26,0,0,0
208000,8880.8,271303.1,437604,243637,99.8500,99.4000,97.3000,93.3500,70.3000,0.0000,217869.31,399.56,0,0,0
210000,8964.5,270630.7,513200,243684,99.8500,99.4000,97.4000,93.0000,71.2000,0.1000,218461.25,395.61,0,0,0
212000,9049.4,272327.5,436272,243715,99.8000,99.4000,97.8500,93.2000,71.8500,0.0000,218028.95,398.22,0,0,0
214000,9134.0,269928.0,390332,243733,99.9500,99.1500,97.6500,93.0500,70.1000,0.0000,218233.85,397.37,0,0,0
216000,9218.7,270154.7,560600,243750,99.7500,99.1000,96.9500,93.1500,69.8000,0.1500,218075.52,396.90,0,0,0
218000,9303.3,270857.0,554384,243773,100.0000,99.2000,97.2500,92.9500,70.8500,0.0500,218063.79,400.08,0,0,0
220000,9389.3,271547.3,523860,243764,99.8000,99.3000,97.4000,93.4000,71.1500,0.1500,217957.37,400.68,0,0,0
222000,9475.1,271288.4,483152,243761,99.8000,99.2500,97.7000,93.1500,70.2000,0.0500,218131.98,397.40,0,0,0
224000,9560.4,270187.0,387296,243763,99.8000,99.4500,97.1500,92.6000,70.5500,0.0000,218084.68,400.99,0,0,0
226000,9645.4,269384.5,387428,243764,99.9000,99.5000,96.8500,92.3000,70.3500,0.0000,218309.31,398.71,0,0,0
228000,9729.7,273086.1,568672,243810,99.7500,99.0500,97.2000,93.2500,71.3500,0.2000,217817.44,401.44,0,0,0
230000,9813.5,270215.1,387280,243850,99.9000,99.2500,96.8500,93.0000,70.2000,0.0000,218296.41,398.98,0,0,0
232000,9899.6,272336.4,585948,243846,99.9500,99.6000,97.9500,93.7000,70.2000,0.1500,218003.86,401.19,0,0,0
234000,9984.3,268394.5,436812,243848,99.9500,99.1500,97.4500,93.3000,69.3500,0.0000,218581.89,400.30,0,0,0
236000,10070.1,274357.0,386948,243867,99.8000,99.4000,97.9500,93.4500,71.7000,0.0000,217845.70,397.92,0,0,0
238000,10155.5,271475.3,492932,243874,99.8000,99.3500,97.8000,92.9000,70.3000,0.0500,218228.39,399.77,0,0,0
240000,10239.9,266948.4,467332,243872,99.9000,99.5500,97.6000,92.4000,68.7000,0.0500,218750.76,398.59,0,0,0
242000,10324.3,269584.6,469468,243890,99.9500,99.3500,97.9500,93.4000,69.6000,0.0500,218475.57,399.09,0,0,0
244000,10408.8,269805.8,490724,243905,99.8000,99.3500,97.5500,92.2000,70.2000,0.0500,218254.51,399.98,0,0,0
246000,10492.2,268234.3,386984,243937,99.5500,99.0000,97.8500,92.5000,69.4000,0.0000,218592.99,401.91,0,0,0
248000,10576.6,268656.5,414272,243948,99.6000,99.0000,97.6500,92.3500,69.4500,0.0000,218332.30,402.34,0,0,0
250000,10663.7,276287.7,554444,243947,99.6000,99.4500,97.7500,93.2000,73.4000,0.1000,217809.02,398.97,0,0,0
252000,10748.7,267453.7,534296,243935,99.9000,99.4500,96.9500,92.1500,69.0500,0.0500,218504.72,400.39,0,0,0
254000,10834.7,272153.5,510988,243929,99.9500,99.5000,97.5000,93.5500,70.9000,0.1500,218278.04,399.51,0,0,0
256000,10918.8,266434.8,549964,243930,99.8000,99.1500,96.7500,91.9000,68.4000,0.1500,218524.32,401.22,0,0,0
258000,11004.5,271169.3,492380,243927,99.8500,99.3000,97.5000,93.1500,70.2000,0.0500,218276.51,401.30,0,0,0
260000,11090.0,272734.3,508312,243939,99.9000,99.4000,97.8500,93.4000,71.1000,0.0500,217986.97,404.59,0,0,0
262000,11176.5,272378.6,386880,243928,99.9000,99.3000,97.5000,93.2000,70.0000,0.0000,217856.37,403.11,0,0,0
264000,11262.6,270062.4,571496,243909,99.9500,99.4500,97.2500,92.4500,70.3500,0.1500,218510.39,397.64,0,0,0
266000,11347.8,270385.2,533136,243911,99.8000,99.3000,97.2500,93.6500,70.7000,0.2000,218716.20,400.73,0,0,0
268000,11432.9,272443.9,533360,243927,99.8500,99.3000,97.1500,92.7000,71.2500,0.2000,218082.98,399.69,0,0,0
270000,11517.2,269973.7,601132,243949,99.9000,99.4500,98.2000,93.5000,68.5500,0.1000,218758.30,399.26,0,0,0
272000,11603.1,269659.3,609868,243935,99.8500,99.5000,97.6000,93.4500,68.9500,0.1000,218671.37,402.56,0,0,0
274000,11689.1,271442.3,524336,243927,99.8500,99.2500,97.6000,93.2500,70.5000,0.1000,218402.61,401.71,0,0,0
276000,11776.0,274468.9,387428,243920,99.8500,99.4500,98.1500,93.9500,71.4500,0.0000,218171.96,401.75,0,0,0
278000,11862.7,272844.8,522032,243907,99.6500,99.1500,97.8000,94.2000,71.1000,0.2000,218204.63,401.71,0,0,0
280000,11946.9,268351.8,489248,243918,99.8500,99.2500,98.0500,92.0500,70.1000,0.1000,218801.81,401.06,0,0,0
282000,12033.5,273785.2,418948,243912,99.7500,99.5500,97.7500,93.9500,71.5500,0.0000,218470.44,400.65,0,0,0
284000,12118.1,274082.6,583616,243948,99.9500,99.5500,97.9500,93.7000,72.1000,0.1500,218608.47,400.17,0,0,0
