episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
182000,1012.6,72432.8,177364,445109,99.5000,95.1000,67.9000,11.3000,0.0000,0.0000,30275.63,223.00,0,0,0
184000,1027.8,72535.6,179032,445081,99.7500,95.5500,68.1500,11.7500,0.0000,0.0000,30451.23,224.90,0,0,0
186000,1043.4,74340.9,193584,444981,99.6500,95.1500,68.9000,13.4000,0.0000,0.0000,30727.30,223.31,0,0,0
188000,1059.2,75077.6,181212,444862,99.6500,94.9500,68.7000,14.6000,0.0000,0.0000,30902.68,224.54,0,0,0
190000,1074.7,74617.0,201544,444826,99.8000,95.6000,70.8500,12.7500,0.0000,0.0000,31232.15,224.62,0,0,0
192000,1090.1,73494.0,179252,444780,99.8000,94.8500,69.5500,11.5500,0.0000,0.0000,31429.72,226.03,0,0,0
194000,1105.4,74831.7,197224,444855,99.6500,95.2500,69.1500,14.7000,0.0000,0.0000,31632.03,226.43,0,0,0
196000,1120.8,76109.4,177924,445005,99.6500,96.0000,69.9500,15.0500,0.0000,0.0000,31786.66,226.71,0,0,0
198000,1136.3,75788.3,189912,445051,99.5500,94.8000,71.6500,14.3000,0.0000,0.0000,32142.93,226.33,0,0,0
200000,1152.0,77494.9,219572,445158,99.7500,95.9000,71.7500,14.4500,0.0500,0.0000,32258.82,225.31,0,0,0
202000,1167.8,76476.0,188412,445154,99.6000,95.1500,70.7500,14.5000,0.0000,0.0000,32611.90,225.94,0,0,0
204000,1183.7,77071.7,180584,445155,99.8500,95.4500,72.3500,14.1500,0.0000,0.0000,32780.66,228.33,0,0,0
206000,1199.6,77508.0,178824,445198,99.6500,96.0000,72.3500,15.1000,0.0000,0.0000,33028.45,229.01,0,0,0
208000,1215.5,77365.6,191580,445218,99.6000,95.8000,71.8500,15.0500,0.0000,0.0000,33235.10,229.49,0,0,0
210000,1231.5,78251.3,232656,445244,99.7000,95.8000,70.8000,16.6000,0.0500,0.0000,33449.14,230.05,0,0,0
212000,1247.5,77960.6,200392,445244,99.7000,95.7500,72.2000,15.4500,0.0000,0.0000,33676.47,231.66,0,0,0
214000,1263.8,78560.1,268404,445197,99.6000,96.0000,71.7000,15.4000,0.0500,0.0000,33934.46,229.93,0,0,0
216000,1280.2,79266.2,215724,445162,99.6500,95.9500,73.4000,16.1500,0.0500,0.0000,34231.95,229.04,0,0,0
218000,1296.4,79524.9,196276,445204,99.4500,95.3000,72.5500,16.5000,0.0000,0.0000,34387.72,230.87,0,0,0
220000,1312.7,79580.1,196720,445216,99.5500,96.1500,74.2500,16.1500,0.0000,0.0000,34637.42,231.23,0,0,0
222000,1329.0,79329.4,235084,445212,99.6500,95.5500,73.3500,16.1000,0.0500,0.0000,34927.28,231.67,0,0,0
224000,1345.6,81017.7,188324,445212,99.7500,96.4000,75.9000,17.2000,0.0000,0.0000,35014.23,234.45,0,0,0
226000,1362.2,81122.0,192596,445227,99.8500,95.9500,77.2000,15.6000,0.0000,0.0000,35292.05,233.62,0,0,0
228000,1378.4,81219.7,192136,445363,99.7500,96.1000,75.0500,17.5500,0.0000,0.0000,35530.87,233.18,0,0,0
230000,1394.8,80893.3,192496,445417,99.7500,96.1000,73.9000,17.3500,0.0000,0.0000,35767.92,235.25,0,0,0
232000,1411.3,81494.7,200040,445473,99.7500,95.0000,75.0000,18.8500,0.0000,0.0000,35938.49,236.93,0,0,0
234000,1428.1,81781.3,217424,445440,99.8500,96.1000,76.3000,17.8000,0.0500,0.0000,36158.69,235.97,0,0,0
236000,1445.2,84055.8,198340,445458,99.6500,96.4000,77.5000,20.0500,0.0000,0.0000,36370.86,234.81,0,0,0
238000,1462.2,83237.3,231116,445430,99.8000,95.8500,76.8500,20.0500,0.0500,0.0000,36676.64,235.50,0,0,0
240000,1479.1,83493.7,201128,445474,99.7500,96.7000,76.0500,19.6000,0.0000,0.0000,36836.16,236.88,0,0,0
242000,1496.3,83118.5,218040,445416,99.9000,95.8500,75.6000,19.9500,0.0500,0.0000,37113.40,235.87,0,0,0
244000,1513.6,84796.0,261368,445391,99.9000,96.6500,77.7000,21.4000,0.1000,0.0000,37327.78,237.36,0,0,0
246000,1530.8,85328.9,228156,445411,99.6500,96.5500,77.8500,21.9000,0.0500,0.0000,37519.23,238.08,0,0,0
248000,1547.6,83552.2,249976,445467,99.8500,96.3000,75.9500,19.7500,0.1000,0.0000,37833.56,238.54,0,0,0
250000,1565.1,85707.4,213896,445451,99.5500,95.9500,79.1000,21.4000,0.0000,0.0000,37952.88,238.55,0,0,0
252000,1582.6,86253.7,256368,445451,99.5000,96.4000,77.2000,21.9000,0.1500,0.0000,38139.07,240.69,0,0,0
254000,1600.0,86330.8,250200,445476,99.6500,96.6000,77.8000,22.5500,0.1000,0.0000,38359.23,240.60,0,0,0
256000,1617.5,86222.7,255948,445473,99.9000,96.0500,78.0000,22.6000,0.0500,0.0000,38622.35,239.96,0,0,0
258000,1634.5,86179.1,246248,445619,99.7500,97.0500,79.1500,21.5500,0.0500,0.0000,38894.69,241.51,0,0,0
260000,1651.3,87182.5,279444,445835,99.7500,96.7500,80.1000,23.3500,0.0500,0.0000,39036.76,243.04,0,0,0
262000,1669.4,87571.5,246484,445728,99.7000,96.8000,79.9000,22.8500,0.1500,0.0000,39275.68,242.54,0,0,0
264000,1687.5,88727.8,217460,445666,99.6000,96.9000,79.5500,24.4500,0.1000,0.0000,39394.05,243.54,0,0,0
266000,1705.5,87187.0,241420,445595,99.7500,96.6000,78.4500,23.1000,0.1000,0.0000,39721.25,243.26,0,0,0
268000,1723.1,88363.4,246452,445654,99.7000,96.2500,78.9500,23.9500,0.1000,0.0000,39879.36,243.31,0,0,0
