score,max_tile,moves
33124,2048,1685
378052,16384,14384
322968,16384,12122
344728,16384,13094
37528,2048,1942
278520,16384,10621
288772,16384,11051
359708,16384,13623
364664,16384,13789
341984,16384,12965
289728,16384,11119
406700,16384,15574
78944,4096,3634
229104,16384,8554
173316,8192,7216
375652,16384,14216
340848,16384,12894
357504,16384,13455
114524,8192,4771
142028,8192,6065
289784,16384,11116
285196,16384,10913
289912,16384,11163
353760,16384,13220
176852,8192,7379
242072,16384,9045
20352,1024,1209
177660,8192,7501
386660,16384,14797
366820,16384,13987
375544,16384,14242
342620,16384,13034
376280,16384,14289
85208,4096,3994
155392,8192,6395
338172,16384,12750
328236,16384,12279
380672,16384,14460
244880,16384,9277
128944,8192,5356
162636,8192,6671
380980,16384,14538
325232,16384,12198
79752,4096,3676
376128,16384,14300
381124,16384,14514
172440,8192,7145
321984,16384,12032
381108,16384,14477
338672,16384,12759
225260,16384,8371
364020,16384,13805
233332,16384,8647
134048,8192,5667
289256,16384,11062
337536,16384,12752
177540,8192,7515
381148,16384,14497
285696,16384,10863
364364,16384,13706
152948,8192,6274
132008,8192,5531
74568,4096,3355
338492,16384,12747
177116,8192,7414
174840,8192,7288
341608,16384,12970
162188,8192,6618
334688,16384,12631
354960,16384,13330
357816,16384,13471
164236,8192,6792
342916,16384,13040
343108,16384,13046
377868,16384,14337
322388,16384,12101
290352,16384,11163
174444,8192,7223
37240,2048,1944
380604,16384,14495
269180,16384,10144
342484,16384,13027
285972,16384,10944
363016,16384,13729
365536,16384,13878
285500,16384,10827
270468,16384,10255
289852,16384,11133
290180,16384,11156
337424,16384,12735
365380,16384,13823
383156,16384,14684
277388,16384,10462
385044,16384,14745
146068,8192,5906
322832,16384,12099
289624,16384,11098
352548,16384,13177
136852,8192,5827
374920,16384,14236
148472,8192,6063
342180,16384,13028
342032,16384,12990
366976,16384,13920
386384,16384,14834
61416,4096,2854
36224,2048,1887
311128,16384,11489
374100,16384,14181
375572,16384,14209
353680,16384,13476
260480,16384,9726
358320,16384,13526
322332,16384,12098
167360,8192,6912
58608,4096,2681
246132,16384,9324
243680,16384,9198
333880,16384,12562
347672,16384,13074
364004,16384,13826
176000,8192,7324
364744,16384,13802
291640,16384,11192
168400,8192,7010
288224,16384,11001
59780,4096,2764
19468,1024,1134
290912,16384,11237
285572,16384,10845
319232,16384,11919
174488,8192,7224
289036,16384,11071
378580,16384,14466
246000,16384,9270
364792,16384,13800
340732,16384,12921
375832,16384,14273
372188,16384,14077
375876,16384,14320
157016,8192,6481
286380,16384,10917
362892,16384,13732
176520,8192,7392
363100,16384,13735
314300,16384,12094
177120,8192,7414
173408,8192,7235
313680,16384,11599
290152,16384,11113
176352,8192,7395
288932,16384,11109
173740,8192,7284
168800,8192,6999
176152,8192,7359
322796,16384,12086
338868,16384,12782
132996,8192,5596
356564,16384,13507
372644,16384,14100
284804,16384,10812
257368,16384,9558
320616,16384,11994
154712,8192,6358
372256,16384,14029
289640,16384,11097
338572,16384,12746
340632,16384,12900
319052,16384,11919
279636,16384,10578
353972,16384,13230
342052,16384,12974
262328,16384,9839
341048,16384,12914
342892,16384,13012
173216,8192,7203
175608,8192,7353
352468,16384,13152
216964,16384,7898
313916,16384,11636
246568,16384,9357
338028,16384,12743
177164,8192,7437
217024,16384,7927
322748,16384,12078
345968,16384,13191
288216,16384,11026
361004,16384,13558
176384,8192,7402
354764,16384,13361
286328,16384,10891
379792,16384,14494
362252,16384,13637
280940,16384,10681
330272,16384,12370
380380,16384,14518
